,VarDb,VarQuery,cRMSE,combinations,ddP,ddP_abs,euclidian,manhattan,pearson,spearman,indexDdPStd,sumDdPStd,indexRMSSEStd,rankRMSSEStd,rankRMSSEMean,rankRMSSEMedian,indexPeaStd,rankPeaStd,indexEuclStd,rankEuclStd,indexManStd,rankManStd,indexSpeStd,indexSpeCum,rankSpeStd,indexSpeStdAUC,rankSpeStdAUC,indexddP_absStdAUC,rankddP_absStdAUC
556,0.445056,0.419264,1.10944310354,"(42, 15)",-0.144,0.144,3.76069142579,7.6,-0.42427261651,-0.1,2611,0.247697064794,2611,0.60571571577,0.0,0.0,628,0.624270984729,1591,0.640317830943,1549,0.636013105972,1097,,,1180,0.618711056679,556,0.0865290268126
557,0.419264,0.445056,1.10944310354,"(15, 42)",0.144,0.144,3.76069142579,7.6,-0.42427261651,-0.1,2610,0.247486070053,2610,0.605825140724,5.51512830333e-05,0.002,629,0.623801759312,1590,0.64050885008,1548,0.636207843414,1096,,,1181,0.618463316203,557,0.0866665012405
2059,0.030824,0.99508,1.11101035099,"(31, 33)",0.666,0.666,3.18871447452,4.97,-0.59508303881,-0.6,2613,0.248120236223,2613,0.60576413327,0.0,0.0,389,0.595444948908,1314,0.63308666908,964,0.621579996108,367,,,418,0.591538195198,2059,0.352364067798
2061,0.99508,0.030824,1.11101035099,"(33, 31)",-0.666,0.666,3.18871447452,4.97,-0.59508303881,-0.6,2612,0.247908920904,2612,0.605739880645,-0.000254879448909,-0.002,388,0.59525033457,1315,0.633112531233,965,0.621628003505,366,,,368,0.575939243247,2061,0.352803976699
2136,1.078104,0.020584,1.11174457498,"(0, 16)",-0.702,0.702,6.50435238898,13.44,-0.460794585524,-0.1,2614,0.248331667662,2615,0.605843547188,0.0,0.0,590,0.61741047859,2422,0.625808083664,2366,0.626990940223,1132,,,1069,0.610237427076,2136,0.369621008516
2137,0.020584,1.078104,1.11174457498,"(16, 0)",0.702,0.702,6.50435238898,13.44,-0.460794585524,-0.1,2615,0.248542560229,2614,0.605803797235,0.00026845124283,0.002,591,0.617564276116,2423,0.625841495554,2367,0.627024580319,1158,,,1067,0.610418996742,2137,0.369846447545
629,0.05008,1.078104,1.11176616246,"(16, 1)",0.166,0.166,7.0786015568,14.82,-0.232053110795,0.2,2616,0.248752935137,2616,0.605736472912,6.34314100115e-05,0.002,919,0.636384591129,2512,0.624434649527,2460,0.62652699211,1596,,,1622,0.625065423961,629,0.0969882990815
626,1.078104,0.05008,1.11176616246,"(1, 16)",-0.166,0.166,7.0786015568,14.82,-0.232053110795,0.2,2617,0.248962775115,2617,0.605629468167,0.0,0.0,918,0.636707162594,2513,0.624319227648,2461,0.626408677328,1598,,,1638,0.625015327281,626,0.0965392223555
1142,0.012184,1.078104,1.11273357099,"(16, 52)",0.322,0.322,8.50682667039,18.19,-0.645175201577,-0.5,2619,0.249382572729,2619,0.605463632836,0.0,0.0,316,0.589719253424,2671,0.616445769089,2652,0.618136217438,503,,,506,0.609297188372,1142,0.178650215895
1143,1.078104,0.012184,1.11273357099,"(52, 16)",-0.322,0.322,8.50682667039,18.19,-0.645175201577,-0.5,2618,0.249172940782,2618,0.605546512037,-0.000122947689958,-0.002,317,0.589068980809,2670,0.616529661982,2653,0.618051370526,504,,,515,0.622373069317,1143,0.17882593013
436,0.298904,0.539664,1.11542637588,"(41, 50)",0.118,0.118,2.68782439903,4.32,-0.504950642428,-0.5,2621,0.249805015478,2621,0.605241446233,0.0,0.0,529,0.59744244848,1036,0.617233881903,775,0.598447243366,459,,,523,0.623610791667,436,0.0693271377632
439,0.539664,0.298904,1.11542637588,"(50, 41)",-0.118,0.118,2.68782439903,4.32,-0.504950642428,-0.5,2620,0.24959406282,2620,0.605352505668,-4.50209843571e-05,-0.002,528,0.597984822687,1037,0.616947373491,774,0.598818193136,468,,,514,0.62281923475,439,0.069774572081
2613,0.99508,0.041864,1.11700671439,"(18, 31)",-1.224,1.224,2.50205915198,4.63,-0.516307976574,-0.3,2623,0.250228118364,2623,0.605953715632,0.0,0.0,510,0.594816388892,923,0.605694585361,852,0.619186483299,751,,,861,0.616277996616,2613,0.518658988292
